Player Name,Session Date,Drill Name,Session Time(mins),Total Distance,Metres Per Minute,Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,HSR per min,Average Speed,Maximum Speed,Number of Sprints,Number of Accelerations,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Accelerations Zone 4,Accelerations Zone 5,Accelerations Zone 6,Number of Decelerations,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,Decelerations Zone 4,Decelerations Zone 5,Decelerations Zone 6,HML Distance,HML Distance Per Minute,Average Step Impact Left (g),Average Step Impact Right (g),Step Balance,HML Efforts,Explosive Distance
Kroos,2022-09-22,SSG 6v6,12.46,1304.0,104.63,313.0,427.0,337.0,181.0,46.0,0.0,3.67,1.74,6.95,6,32,35,52,22,24,7,1,20,33,56,31,14,4,2,301.0,24.18,645.0,2.0,1.24,44.0,256
Isco,2022-09-23,SSG 7v7,11.67,977.0,83.73,328.0,361.0,165.0,106.0,17.0,0.0,1.44,1.4,6.15,2,16,32,46,19,7,8,1,20,28,39,22,13,6,1,197.0,16.91,403.0,2.0,0.85,25.0,181
Camavinga,2022-09-23,SSG 7v7,11.67,1034.0,88.55,341.0,433.0,164.0,74.0,22.0,0.0,1.88,1.48,6.83,2,16,31,41,17,9,7,0,11,31,52,19,9,2,0,154.0,13.18,188.0,2.0,0.66,19.0,132
Marcelo,2022-09-23,SSG 7v7,11.67,823.0,70.53,418.0,300.0,85.0,20.0,1.0,0.0,0.1,1.18,5.7,0,12,48,35,17,6,5,1,14,31,45,7,9,3,2,85.0,7.28,204.0,1.0,0.42,11.0,84
Casemiro,2022-09-23,SSG 7v7,11.67,867.0,74.3,348.0,380.0,96.0,44.0,0.0,0.0,0.0,1.24,5.23,0,16,36,52,24,11,5,0,14,29,52,24,9,3,2,113.0,9.66,373.0,1.0,0.54,19.0,113
Valverde,2022-09-23,SSG 7v7,11.67,910.0,77.98,339.0,331.0,118.0,106.0,16.0,0.0,1.38,1.3,6.01,4,8,30,39,24,5,2,1,15,25,37,17,8,6,1,171.0,14.63,204.0,3.0,0.71,20.0,155
Tchouameni,2022-09-23,SSG 7v7,11.67,938.0,80.35,340.0,355.0,151.0,77.0,14.0,0.0,1.23,1.34,6.64,1,14,35,57,34,12,2,0,16,28,54,31,10,5,1,179.0,15.33,241.0,1.0,0.81,23.0,165
Carvajal,2022-09-23,SSG 7v7,11.67,861.0,73.73,357.0,318.0,130.0,56.0,0.0,0.0,0.0,1.23,5.21,0,2,36,44,14,2,0,0,4,32,41,12,4,0,0,89.0,7.6,225.0,0.0,0.4,11.0,89
Militao,2022-09-23,SSG 7v7,11.67,883.0,75.62,341.0,318.0,131.0,77.0,15.0,0.0,1.29,1.26,6.77,1,22,34,38,20,14,8,0,15,25,47,23,8,5,2,164.0,14.01,260.0,2.0,0.72,25.0,148
Alaba,2022-09-23,SSG 7v7,11.67,886.0,75.92,333.0,380.0,121.0,41.0,10.0,0.0,0.84,1.27,6.28,1,11,26,51,23,7,3,1,17,31,45,18,10,6,1,120.0,10.28,228.0,2.0,0.56,19.0,110
Vallejo,2022-09-23,SSG 7v7,11.67,1102.0,94.42,317.0,374.0,211.0,167.0,33.0,0.0,2.86,1.57,6.81,4,19,23,41,24,11,8,0,16,24,36,27,7,7,2,251.0,21.47,388.0,2.0,1.02,33.0,217
Nacho,2022-09-23,SSG 7v7,11.67,833.0,71.38,386.0,237.0,117.0,70.0,23.0,0.0,1.98,1.19,6.84,2,19,26,27,22,14,4,1,15,24,32,19,7,5,3,154.0,13.2,227.0,1.0,0.66,24.0,131
Hazard,2022-09-23,SSG 7v7,11.67,904.0,77.42,357.0,327.0,113.0,82.0,25.0,0.0,2.14,1.29,6.56,2,24,25,43,21,21,3,0,13,23,60,18,8,3,2,165.0,14.12,259.0,2.0,0.71,17.0,140
Benzema,2022-09-23,SSG 7v7,11.67,994.0,85.17,320.0,427.0,188.0,58.0,1.0,0.0,0.1,1.42,5.77,0,9,44,47,32,7,2,0,16,22,50,33,14,2,0,166.0,14.19,216.0,0.0,0.79,18.0,164
Asensio,2022-09-14,SSG 8v8,18.34,1496.0,81.56,685.0,461.0,174.0,133.0,38.0,5.0,2.33,1.36,7.41,3,16,51,41,27,10,5,1,13,52,54,27,7,5,1,217.0,11.84,304.0,1.0,0.88,29.0,174
Marcelo,2022-09-14,SSG 8v8,18.34,1321.0,72.04,815.0,359.0,75.0,66.0,6.0,0.0,0.35,1.2,6.31,1,9,41,42,6,7,2,0,4,37,54,12,3,0,1,89.0,4.85,134.0,0.0,0.39,12.0,82
